Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT412155.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-17
MT412170.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29841,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-19
MT412173.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29844,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-20
MT412176.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-16
MT412177.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,A,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29857,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-20
MT412178.1,"Blankenship,H.M., Riner,D., Soehnlen,M.K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,complete,USA: Michigan,MI,Homo sapiens,swab,2020-03-20
MT412226.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412227.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412228.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29879,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412229.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412230.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.38,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29791,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412233.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA,,Homo sapiens,,2020-03-13
MT412234.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: WA,WA,Homo sapiens,,2020-03-13
MT412235.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29879,complete,USA: WA,WA,Homo sapiens,,2020-03-13
MT412236.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29830,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412237.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412238.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412239.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA,,Homo sapiens,,2020-03-10
MT412240.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412241.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29706,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412242.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29885,complete,USA,,Homo sapiens,,2020-03-11
MT412243.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,complete,USA,,Homo sapiens,,2020
MT412244.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412245.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA,,Homo sapiens,,2020-03-11
MT412246.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,complete,USA: WA,WA,Homo sapiens,,2020-03-11
MT412247.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29875,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412248.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29839,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412249.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29869,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412250.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29853,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412251.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,complete,USA: WA,WA,Homo sapiens,,2020-03-12
MT412252.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: WA,WA,Homo sapiens,,2020-03-11
MT412253.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: WA,WA,Homo sapiens,,2020-03-11
MT412254.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA,,Homo sapiens,,2020-04-02
MT412255.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412256.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412257.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29832,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412258.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,complete,USA: WA,WA,Homo sapiens,,2020-04-05
MT412259.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-04-05
MT412261.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: WA,WA,Homo sapiens,,2020-04-05
MT412262.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: WA,WA,Homo sapiens,,2020-04-05
MT412263.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,complete,USA: WA,WA,Homo sapiens,,2020-04-05
MT412264.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29810,complete,USA: CT,CT,Homo sapiens,,2020-04-07
MT412267.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29689,complete,USA,,Homo sapiens,,2020-04-08
MT412268.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,complete,USA: WA,WA,Homo sapiens,,2020-04-08
MT412269.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.38,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29828,complete,USA: WA,WA,Homo sapiens,,2020-04-08
MT412271.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: WA,WA,Homo sapiens,,2020-04-06
MT412272.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29786,complete,USA: WA,WA,Homo sapiens,,2020-04-06
MT412273.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29847,complete,USA,,Homo sapiens,,2020-04-07
MT412274.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: CT,CT,Homo sapiens,,2020-04-04
MT412275.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: WA,WA,Homo sapiens,,2020-04-06
MT412276.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29841,complete,USA: CT,CT,Homo sapiens,,2020-04-05
MT412277.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412278.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.319,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: CT,CT,Homo sapiens,,2020-04-06
MT412279.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: CT,CT,Homo sapiens,,2020-04-05
MT412280.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29879,complete,USA: CT,CT,Homo sapiens,,2020-04-05
MT412281.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA,,Homo sapiens,,2020-04-07
MT412283.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,complete,USA: CT,CT,Homo sapiens,,2020-04-04
MT412284.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.319,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29869,complete,USA: CT,CT,Homo sapiens,,2020-04-04
MT412285.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412286.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412287.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29830,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412288.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29846,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412289.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: WA,WA,Homo sapiens,,2020-04-07
MT412290.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29874,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412291.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29827,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412292.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29881,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412293.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412294.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412295.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29887,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT412296.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29893,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412297.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29895,complete,USA: ID,ID,Homo sapiens,,2020-03-30
MT412298.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT412299.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,complete,USA: ID,ID,Homo sapiens,,2020-03-31
MT412300.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: WA,WA,Homo sapiens,,2020-03-30
MT412301.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: CT,CT,Homo sapiens,,2020-03-30
MT412302.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: CT,CT,Homo sapiens,,2020-03-30
MT412303.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29910,complete,USA: CT,CT,Homo sapiens,,2020-03-30
MT412304.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: ID,ID,Homo sapiens,,2020-03-27
MT412305.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29921,complete,USA: ID,ID,Homo sapiens,,2020-03-29
MT412306.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29915,complete,USA: ID,ID,Homo sapiens,,2020-03-29
MT412307.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29913,complete,USA: OR,OR,Homo sapiens,,2020-03-29
MT412308.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29916,complete,USA: WA,WA,Homo sapiens,,2020-03-31
MT412309.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,complete,USA: ID,ID,Homo sapiens,,2020-03-28
MT412310.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29875,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412311.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412312.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29914,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412313.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29831,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412314.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29907,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412316.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412317.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412318.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29839,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412319.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412321.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29883,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412322.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29811,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412323.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29703,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412324.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.413,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412325.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,complete,USA: WA,WA,Homo sapiens,,2020-04-01
MT412326.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,complete,USA: WA,WA,Homo sapiens,,2020-04-02
MT412327.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29920,complete,USA: ID,ID,Homo sapiens,,2020-04-01
MT412328.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: CT,CT,Homo sapiens,,2020-04-02
MT412329.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412330.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.314,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29833,complete,USA: CT,CT,Homo sapiens,,2020-04-01
MT412331.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: WA,WA,Homo sapiens,,2020-04-03
MT412332.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29845,complete,USA: WA,WA,Homo sapiens,,2020-04-03
MT412333.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,complete,USA: WA,WA,Homo sapiens,,2020-04-03
MT412334.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29834,complete,USA: WA,WA,Homo sapiens,,2020-04-03
MT412336.1,"Roychoudhury,P., Greninger,A., Jerome,K.",2020-04-30T00:00:00Z,B.1.371,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,complete,USA: WA,WA,Homo sapiens,,2020-04-03
